closetCleaner Report:
=====================

                  Name |   Count |          Location |                                                 Long Name | 
                  Iris |      13 |              Case |                                                      iris | 
      Potestas Bomblet |      13 |              Safe |                                          potestas bomblet | 
                 Shijo |      13 |           Satchel |                                                     shijo | 
          Achiuchikapu |      14 |              Safe |                                              Achiuchikapu | 
           Wyvern Mail |      14 |            Locker |                                               wyvern mail | 
              Vox Grip |      14 |           Satchel |                                                  vox grip | 
       Hardwood Katana |      14 |          Wardrobe |                                           hardwood katana | 
         Ejekamal Mask |      14 |           Satchel |                                             ejekamal mask | 
          Aizushintogo |      14 |              Safe |                                              aizushintogo | 
             Focal Orb |      14 |              Case |                                                 focal orb | 
        Letalis Mantle |      14 |         NOT FOUND |                                            letalis mantle | 
     Pelt. Plackart +1 |      14 |           Satchel |                                     peltast's plackart +1 | 
         Phorcys Mitts |      14 |              Case |                                             Phorcys mitts | 
           Queller Rod |      15 |            Locker |                                               queller rod | 
       Lancer's Torque |      15 |        Wardrobe 2 |                                           lancer's torque | 
     Quiahuiz Trousers |      15 |            Safe 2 |                                         quiahuiz trousers | 
           Love Torque |      15 |        Wardrobe 2 |                                               love torque | 
       Rvg. Cuisses +2 |      15 |           Satchel |                                      ravager's cuisses +2 | 
            Otomi Helm |      15 |            Locker |                                                otomi helm | 
      Hizamaru Kote +1 |      15 |              Case |                                          Hizamaru kote +1 | 
            Light Belt |      15 |         NOT FOUND |                                                light belt | 
       Ptero. Armet +1 |      15 |              Case |                                      pteroslaver armet +1 | 
      Psystorm Earring |      15 |          Wardrobe |                                          psystorm earring | 
      Lancer's Earring |      15 |          Wardrobe |                                          lancer's earring | 
       Brioso Roundlet |      15 |         Inventory |                                           brioso roundlet | 
     Ptero. Greaves +1 |      16 |              Sack |                                    pteroslaver greaves +1 | 
       Cichol's Mantle |      16 |              Sack |                                           Cichol's mantle | 
     Hagondes Pants +1 |      16 |            Locker |                                         Hagondes pants +1 | 
    Arciela's Grace +1 |      16 |        Wardrobe 2 |                                        Arciela's Grace +1 | 
    Glassblower's Belt |      16 |        Wardrobe 2 |                                        glassblower's belt | 
      Tantra Cyclas +2 |      16 |            Safe 2 |                                          tantra cyclas +2 | 
     Dragoon's Earring |      16 |          Wardrobe |                                         dragoon's earring | 
          Light Gorget |      16 |         NOT FOUND |                                              light gorget | 
      Thur. Chapeau +1 |      16 |              Case |                                     Thurandaut chapeau +1 | 
       Telchine Gloves |      16 |         Inventory |                                           telchine gloves | 
        Rvg. Lorica +2 |      16 |            Safe 2 |                                       ravager's lorica +2 | 
      Call. Doublet +2 |      16 |              Sack |                                       caller's doublet +2 | 
         Spae. Coat +1 |      16 |            Locker |                                        spaekona's coat +1 | 
       Regimen Mittens |      17 |            Safe 2 |                                           regimen mittens | 
        Qaaxo Leggings |      17 |         NOT FOUND |                                            qaaxo leggings | 
     Crusher Gauntlets |      17 |           Satchel |                                       crusher's gauntlets | 
     Lifestorm Earring |      17 |          Wardrobe |                                         lifestorm earring | 
       Vishap Brais +1 |      17 |           Satchel |                                           vishap brais +1 | 
           Tzacab Grip |      18 |              Safe |                                               tzacab grip | 
           Taming Sari |      18 |           Satchel |                                               taming sari | 
           Buremte Hat |      18 |         Inventory |                                               Buremte hat | 
          Zoran's Belt |      18 |        Wardrobe 2 |                                              Zoran's belt | 
            Iuitl Vest |      18 |            Locker |                                                iuitl vest | 
      Heka's Kalasiris |      18 |         Inventory |                                          Heka's kalasiris | 
        Tantra Tathlum |      18 |              Safe |                                            tantra tathlum | 
                 Linos |      18 |         Inventory |                                                     Linos | 
       Assuage Earring |      18 |          Wardrobe |                                           assuage earring | 
         Gavialis Helm |      18 |              Case |                                             gavialis helm | 
       Manibozho Brais |      18 |              Case |                                           Manibozho brais | 
         Thaumas Nails |      18 |            Locker |                                             Thaumas nails | 
            Horn Arrow |      19 |         NOT FOUND |                                                horn arrow | 
           Nereid Ring |      19 |         Inventory |                                               nereid ring | 
       Rhapsode's Cape |      19 |         Inventory |                                           rhapsode's cape | 
              Akademos |      19 |              Sack |                                                  akademos | 
             Usonmunku |      19 |          Wardrobe |                                                 Usonmunku | 
         Count's Cuffs |      20 |              Sack |                                             count's cuffs | 
          Ephedra Ring |      20 |          Wardrobe |                                              ephedra ring | 
       Mdk. Shalwar +1 |      20 |         Inventory |                                       Marduk's shalwar +1 | 
       Psycloth Lappas |      20 |              Case |                                           psycloth lappas | 
             Apaisante |      20 |          Wardrobe |                                                 apaisante | 
              Zulfiqar |      20 |           Satchel |                                                  zulfiqar | 
       Glyphic Horn +1 |      20 |            Safe 2 |                                           glyphic horn +1 | 
     Otronif Gloves +1 |      20 |            Locker |                                         otronif gloves +1 | 
      Incarnation Sash |      21 |           Satchel |                                          incarnation sash | 
     Flamma Korazin +1 |      21 |              Case |                                         flamma korazin +1 | 
                Colada |      21 |              Safe |                                                    Colada | 
         Twilight Helm |      21 |            Locker |                                             Twilight helm | 
      Con. Pigaches +1 |      21 |           Satchel |                                    convoker's pigaches +1 | 
         Trainee Burin |      22 |          Wardrobe |                                             trainee burin | 
         Twilight Mail |      22 |            Safe 2 |                                             Twilight mail | 
        Telchine Chas. |      22 |         Inventory |                                         telchine chasuble | 
         Takaha Mantle |      23 |              Safe |                                             takaha mantle | 
           Bloody Bolt |      23 |         NOT FOUND |                                               bloody bolt | 
                 Lathi |      23 |            Locker |                                                     lathi | 
     Channeler's Stone |      24 |        Wardrobe 2 |                                         channeler's stone | 
     Campestres's Cape |      24 |        Wardrobe 2 |                                         Campestres's cape | 
          Rubeus Boots |      24 |         Inventory |                                              rubeus boots | 
        Incantor Stone |      24 |              Case |                                            incantor stone | 
     Hiza. Haramaki +1 |      24 |            Safe 2 |                                      Hizamaru haramaki +1 | 
       Globidonta Ring |      24 |          Wardrobe |                                           globidonta ring | 
    Smertrios's Mantle |      25 |            Safe 2 |                                        Smertrios's mantle | 
            Black Belt |      25 |           Satchel |                                                black belt | 
     Sulevia's Mask +1 |      25 |              Case |                                         Sulevia's mask +1 | 
      Crematio Earring |      26 |          Wardrobe |                                          crematio earring | 
      Piety Briault +1 |      26 |            Locker |                                          piety briault +1 | 
         Samanisi Cape |      26 |            Safe 2 |                                             samanisi cape | 
             Gridarvor |      26 |           Satchel |                                                 Gridarvor | 
         Perimede Cape |      27 |        Wardrobe 2 |                                             perimede cape | 
       Merlinic Jubbah |      27 |            Safe 2 |                                           merlinic jubbah | 
         Viking Shield |      27 |          Wardrobe |                                             viking shield | 
         Evans Earring |      27 |            Locker |                                             evans earring | 
             Pitchfork |      27 |         NOT FOUND |                                                 pitchfork | 
        Limbo Trousers |      28 |         Inventory |                                            limbo trousers | 
      Skd. Jambeaux +1 |      28 |           Satchel |                                       Skadi's jambeaux +1 | 
        Valorous Mitts |      28 |           Satchel |                                            valorous mitts | 
       Mummu Bonnet +1 |      29 |              Safe |                                           Mummu bonnet +1 | 
       Rosmerta's Cape |      29 |        Wardrobe 2 |                                           Rosmerta's cape | 
     Hashishin Tayt +1 |      29 |            Safe 2 |                                         hashishin tayt +1 | 
        Mummu Kecks +1 |      29 |           Satchel |                                            Mummu kecks +1 | 
           Shango Robe |      29 |              Case |                                               shango robe | 
        Artsieq Jubbah |      30 |         Inventory |                                            artsieq jubbah | 
      Mochi. Hakama +1 |      30 |            Safe 2 |                                       mochizuki hakama +1 | 
        Leyline Gloves |      30 |         Inventory |                                            leyline gloves | 
     Andartia's Mantle |      30 |        Wardrobe 2 |                                         Andartia's mantle | 
          Loxotic Mace |      31 |            Safe 2 |                                              loxotic mace | 
        Porthos Byrnie |      31 |            Locker |                                            porthos byrnie | 
           Yemaya Belt |      31 |        Wardrobe 2 |                                               yemaya belt | 
     Loyalist Sabatons |      31 |              Sack |                                         loyalist sabatons | 
        Tsoa. Crossbow |      31 |            Locker |                                        tsoabichi crossbow | 
      Hattori Zukin +1 |      31 |            Safe 2 |                                          hattori zukin +1 | 
      Tali'ah Sera. +1 |      31 |            Locker |                                      tali'ah seraweels +1 | 
          Chironic Hat |      31 |         Inventory |                                              chironic hat | 
         Merlinic Hood |      31 |              Sack |                                             merlinic hood | 
     Fili Rhingrave +1 |      32 |         Inventory |                                         fili rhingrave +1 | 
       Assim. Bazu. +1 |      32 |            Safe 2 |                                assimilator's bazubands +1 | 
            Chaac Belt |      32 |        Wardrobe 2 |                                                chaac belt | 
        Andoaa Earring |      32 |         Inventory |                                            andoaa earring | 
    Luhlaza Charuqs +1 |      32 |            Locker |                                        luhlaza charuqs +1 | 
         Chironic Hose |      32 |         Inventory |                                             chironic hose | 
        Marduk's Tiara |      33 |         Inventory |                                            Marduk's tiara | 
         Yokaze Mantle |      33 |            Safe 2 |                                             yokaze mantle | 
       Phalaina Locket |      33 |        Wardrobe 2 |                                           phalaina locket | 
       Musical Earring |      33 |          Wardrobe |                                           musical earring | 
      Thereoid Greaves |      33 |            Safe 2 |                                          thereoid greaves | 
          Oneiros Grip |      34 |        Wardrobe 2 |                                              oneiros grip | 
          Fucho-no-Obi |      34 |        Wardrobe 2 |                                              fucho-no-obi | 
             Homiliary |      34 |            Safe 2 |                                                 homiliary | 
      Luh. Keffiyeh +1 |      34 |              Case |                                       luhlaza keffiyeh +1 | 
      Intarabus's Cape |      34 |         Inventory |                                          Intarabus's cape | 
      Assim. Jubbah +1 |      35 |            Safe 2 |                                   assimilator's jubbah +1 | 
         Amalric Gages |      35 |           Satchel |                                             amalric gages | 
           Pahtli Cape |      35 |        Wardrobe 2 |                                               pahtli cape | 
      Hachi. Chain. +1 |      35 |           Satchel |                                      hachiya chainmail +1 | 
        Flamma Dirs +1 |      35 |            Locker |                                            flamma dirs +1 | 
         Prouesse Ring |      36 |         NOT FOUND |                                             prouesse ring | 
        Ejekamal Boots |      36 |            Safe 2 |                                            ejekamal boots | 
       Bloodrain Strap |      36 |              Sack |                                           bloodrain strap | 
            Ark Scythe |      36 |          Wardrobe |                                                ark scythe | 
          Mavi Tathlum |      36 |              Case |                                              mavi tathlum | 
           Bolelabunga |      37 |          Wardrobe |                                               Bolelabunga | 
            Vanya Hood |      37 |         Inventory |                                                vanya hood | 
     Tali'ah Turban +1 |      37 |            Locker |                                         tali'ah turban +1 | 
    Odyssean Gauntlets |      37 |            Safe 2 |                                        odyssean gauntlets | 
         Honed Tathlum |      37 |            Safe 2 |                                             honed tathlum | 
       Cornflower Cape |      39 |        Wardrobe 2 |                                           cornflower cape | 
      Inyanga Tiara +1 |      39 |         Inventory |                                          Inyanga tiara +1 | 
       Chatoyant Staff |      39 |          Wardrobe |                                           chatoyant staff | 
      Barkaro. Earring |      40 |          Wardrobe |                                         barkarole earring | 
    Tali'ah Manteel +1 |      40 |              Case |                                        tali'ah manteel +1 | 
      Friomisi Earring |      40 |          Wardrobe |                                          friomisi earring | 
           Aife's Ring |      41 |          Wardrobe |                                               Aife's ring | 
      Tali'ah Gages +1 |      41 |              Sack |                                          tali'ah gages +1 | 
      Merlinic Shalwar |      41 |              Case |                                          merlinic shalwar | 
        Emicho Haubert |      41 |              Sack |                                            emicho haubert | 
        Baetyl Pendant |      41 |        Wardrobe 2 |                                            baetyl pendant | 
                 Odium |      42 |              Sack |                                                     Odium | 
     Merlinic Crackows |      43 |              Safe |                                         merlinic crackows | 
        Ganesha's Mala |      43 |        Wardrobe 2 |                                            Ganesha's mala | 
     Seeth. Bomblet +1 |      45 |            Locker |                                       seething bomblet +1 | 
         Seraphicaller |      46 |            Safe 2 |                                             seraphicaller | 
       Moepapa Annulet |      46 |            Safe 2 |                                           moepapa annulet | 
           Siegel Sash |      46 |        Wardrobe 2 |                                               siegel sash | 
        Hurch'lan Sash |      46 |        Wardrobe 2 |                                            hurch'lan sash | 
           Skullrender |      47 |              Safe |                                               skullrender | 
      Tripudio Earring |      47 |          Wardrobe |                                          tripudio earring | 
            Skinflayer |      48 |         Inventory |                                                Skinflayer | 
     Hawker's Knife +1 |      48 |              Safe |                                         hawker's knife +1 | 
                 Dunna |      48 |              Sack |                                                     Dunna | 
    Brigantia's Mantle |      48 | Wardrobe 2, Wardrobe 2 |                                        Brigantia's mantle | 
     Inyanga Jubbah +1 |      48 |         Inventory |                                         Inyanga jubbah +1 | 
       Ferine Necklace |      50 |        Wardrobe 2 |                                           ferine necklace | 
    Fili Hongreline +1 |      50 |         Inventory |                                        fili hongreline +1 | 
           Laic Mantle |      52 |        Wardrobe 2 |                                               laic mantle | 
       Toutatis's Cape |      53 |            Safe 2 |                                           Toutatis's cape | 
    Inyanga Shalwar +1 |      53 |         Inventory |                                        Inyanga shalwar +1 | 
     Phalangite Mantle |      54 |        Wardrobe 2 |                                         phalangite mantle | 
     Pemphredo Tathlum |      54 |            Locker |                                         pemphredo tathlum | 
         Evoker's Ring |      54 |           Satchel |                                             evoker's ring | 
              Perun +1 |      54 |              Sack |                                                  Perun +1 | 
       Infused Earring |      55 |          Wardrobe |                                           infused earring | 
            Cho'j Band |      56 |          Wardrobe |                                                cho'j band | 
   Tali'ah Crackows +1 |      56 |           Satchel |                                       tali'ah crackows +1 | 
          Niobid Strap |      56 |              Sack |                                              niobid strap | 
        Befouled Crown |      57 |              Case |                                            befouled crown | 
     Moonshade Earring |      57 |          Wardrobe |                                         moonshade earring | 
         Vengeful Ring |      58 |          Wardrobe |                                             vengeful ring | 
        Adhemar Bonnet |      59 |              Sack |                                            adhemar bonnet | 
        Artio's Mantle |      61 |        Wardrobe 2 |                                            Artio's mantle | 
           Emicho Hose |      62 |              Case |                                               emicho hose | 
     Hizamaru Somen +1 |      64 |              Safe |                                         Hizamaru somen +1 | 
             Flax Sash |      65 |        Wardrobe 2 |                                                 flax sash | 
         Miasmic Pants |      66 |         Inventory |                                             miasmic pants | 
       Perception Ring |      66 |          Wardrobe |                                           perception ring | 
    Flam. Manopolas +1 |      67 |              Sack |                                       flamma manopolas +1 | 
            Canny Cape |      68 |        Wardrobe 2 |                                                canny cape | 
       Chironic Gloves |      68 |         Inventory |                                           chironic gloves | 
     Hiza. Sune-Ate +1 |      68 |           Satchel |                                      Hizamaru sune-ate +1 | 
         Umuthi Gloves |      69 |              Sack |                                             umuthi gloves | 
        Runeist Bottes |      70 |            Safe 2 |                                            runeist bottes | 
          Tanmogayi +1 |      72 |              Sack |                                              tanmogayi +1 | 
           Wanion Belt |      73 |        Wardrobe 2 |                                               wanion belt | 
         Twilight Belt |      74 |        Wardrobe 2 |                                             Twilight belt | 
      Maskirova Torque |      74 |        Wardrobe 2 |                                          maskirova torque | 
       Aoidos' Earring |      78 |          Wardrobe |                                           aoidos' earring | 
         Skormoth Mask |      79 |            Safe 2 |                                             skormoth mask | 
   Sulev. Gauntlets +1 |      80 |            Safe 2 |                                    Sulevia's gauntlets +1 | 
        Herculean Helm |      81 |   Locker, Satchel |                                            herculean helm | 
          K'ayres Ring |      81 |          Wardrobe |                                              k'ayres ring | 
    Sulevi. Cuisses +1 |      84 |              Safe |                                      Sulevia's cuisses +1 | 
           Kumbhakarna |      86 |            Safe 2 |                                               Kumbhakarna | 
       Jhakri Slops +1 |      87 |            Locker |                                           jhakri slops +1 | 
    Sulev. Leggings +1 |      87 |              Sack |                                     Sulevia's leggings +1 | 
          Kumbira Cape |      88 |        Wardrobe 2 |                                              kumbira cape | 
      Overbearing Ring |      88 |          Wardrobe |                                          overbearing ring | 
       Lacono Neck. +1 |      90 |        Wardrobe 2 |                                        lacono necklace +1 | 
    Inyan. Crackows +1 |      91 |         Inventory |                                       Inyanga crackows +1 | 
             Pole Grip |      93 |            Locker |                                                 pole grip | 
         Genmei Shield |      93 |         Inventory |                                             genmei shield | 
        Whirlpool Mask |      95 |            Locker |                                            whirlpool mask | 
    Jhakri Pigaches +1 |      96 |            Safe 2 |                                        jhakri pigaches +1 | 
      Valorous Greaves |      98 |           Satchel |                                          valorous greaves | 
        Brutal Earring |      98 |          Wardrobe |                                            brutal earring | 
          Demonry Core |      98 |              Sack |                                              demonry core | 
         Luminary Sash |     100 |        Wardrobe 2 |                                             luminary sash | 
       Mauler's Mantle |     101 |            Locker |                                           mauler's mantle | 
          Strendu Ring |     103 |          Wardrobe |                                              strendu ring | 
       Jokushu Haidate |     104 |         Inventory |                                           jokushu haidate | 
           Valor. Hose |     104 |              Safe |                                             valorous hose | 
        Buremte Gloves |     105 |         Inventory |                                            Buremte gloves | 
          Meg. Jam. +1 |     107 |            Locker |                                     meghanada jambeaux +1 | 
    Battlecast Gaiters |     109 |         Inventory |                                        battlecast gaiters | 
         Mephitis Grip |     110 |        Wardrobe 2 |                                             mephitis grip | 
           Suppanomimi |     111 |          Wardrobe |                                               suppanomimi | 
       Ulthalam's Ring |     112 |          Wardrobe |                                           Ulthalam's ring | 
      Meg. Chausses +1 |     116 |            Locker |                                     meghanada chausses +1 | 
       Jhakri Cuffs +1 |     117 |           Satchel |                                           jhakri cuffs +1 | 
        Meg. Gloves +1 |     119 |            Locker |                                       meghanada gloves +1 | 
    Etiolation Earring |     119 |          Wardrobe |                                        etiolation earring | 
    Inyan. Dastanas +1 |     119 |         Inventory |                                       Inyanga dastanas +1 | 
       Twilight Torque |     120 |        Wardrobe 2 |                                           Twilight torque | 
        Solemnity Cape |     121 |        Wardrobe 2 |                                            solemnity cape | 
    Carmine Cuisses +1 |     121 |              Safe |                                        carmine cuisses +1 | 
             Grioavolr |     121 | Inventory, Locker |                                                 Grioavolr | 
    Hiza. Hizayoroi +1 |     122 |              Case |                                     Hizamaru hizayoroi +1 | 
       Grounded Mantle |     124 |        Wardrobe 2 |                                           grounded mantle | 
           Deliverance |     127 |          Wardrobe |                                               Deliverance | 
          Eschan Stone |     127 |        Wardrobe 2 |                                              eschan stone | 
           Zodiac Ring |     128 |          Wardrobe |                                               zodiac ring | 
       Phorcys Korazin |     128 |            Locker |                                           Phorcys korazin | 
        Herculean Vest |     128 |              Case |                                            herculean vest | 
    Herculean Trousers |     130 |            Locker |                                        herculean trousers | 
   Heartseeker Earring |     134 |          Wardrobe |                                       heartseeker earring | 
       Atheling Mantle |     135 |        Wardrobe 2 |                                           atheling mantle | 
    Meghanada Visor +1 |     138 |              Case |                                        meghanada visor +1 | 
    Flam. Gambieras +1 |     143 |           Satchel |                                       flamma gambieras +1 | 
           Renaye Ring |     143 |          Wardrobe |                                               Renaye ring | 
     Incanter's Torque |     144 |        Wardrobe 2 |                                         incanter's torque | 
        Iqabi Necklace |     146 |        Wardrobe 2 |                                            iqabi necklace | 
      Zennaroi Earring |     146 |          Wardrobe |                                          zennaroi earring | 
     Jhakri Coronal +1 |     147 |              Safe |                                         jhakri coronal +1 | 
        Defending Ring |     150 |         Inventory |                                            defending ring | 
        Jhakri Robe +1 |     151 |              Case |                                            jhakri robe +1 | 
    Flam. Zucchetto +1 |     152 |            Safe 2 |                                       flamma zucchetto +1 | 
         Valorous Mail |     163 |            Locker |                                             valorous mail | 
            Fotia Belt |     165 |        Wardrobe 2 |                                                fotia belt | 
      Ethereal Earring |     168 |          Wardrobe |                                          ethereal earring | 
          Fotia Gorget |     169 |        Wardrobe 2 |                                              fotia gorget | 
      Emicho Gauntlets |     173 |              Sack |                                          emicho gauntlets | 
          Buquwik Cape |     175 |        Wardrobe 2 |                                              buquwik cape | 
         Valorous Mask |     188 |           Satchel |                                             valorous mask | 
       Ishvara Earring |     194 |          Wardrobe |                                           ishvara earring | 
        Digni. Earring |     222 |          Wardrobe |                                       dignitary's earring | 
           Olseni Belt |     225 |        Wardrobe 2 |                                               olseni belt | 
       Herculean Boots |     225 |              Safe |                                           herculean boots | 
         Twilight Cape |     257 |        Wardrobe 2 |                                             Twilight cape | 
       Hachirin-no-Obi |     257 |        Wardrobe 2 |                                           hachirin-no-obi | 
          Amar Cluster |     258 |              Safe |                                              amar cluster | 
       Dudgeon Earring |     258 |          Wardrobe |                                           dudgeon earring | 
      Herculean Gloves |     259 |              Sack |                                          herculean gloves | 
     Sanctity Necklace |     267 |        Wardrobe 2 |                                         sanctity necklace | 
          Epona's Ring |     273 |          Wardrobe |                                              Epona's ring | 
        Meg. Cuirie +1 |     287 |            Safe 2 |                                       meghanada cuirie +1 | 
     Asperity Necklace |     303 |        Wardrobe 2 |                                         asperity necklace | 
      Sarissapho. Belt |     346 |        Wardrobe 2 |                                        sarissaphoroi belt | 
        Patricius Ring |     354 |          Wardrobe |                                            patricius ring | 
            Apate Ring |     368 |          Wardrobe |                                                apate ring | 
    Steelflash Earring |     371 |          Wardrobe |                                        steelflash earring | 
            Rajas Ring |     388 |          Wardrobe |                                                rajas ring | 
         Hetairoi Ring |     503 |          Wardrobe |                                             hetairoi ring | 
     Bladeborn Earring |     594 |          Wardrobe |                                         bladeborn earring | 
